country,city_actual,rating_count,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,distance,distance_alter,accommodation_type,nnights,rating
Austria,Vienna,36.0,City centre,Donauturm,17. Hernals,81,Vienna,4.0,4.5,216.0,1,21894,1,15-50% offer,2017,11,0,0,2.7,4.4,Apartment,1,4.4
Austria,Vienna,25.0,City centre,Donauturm,Alsergrund,229,Vienna,5.0,4.5,27.0,1,21904,1,1-15% offer,2017,11,0,0,0.9,3.0,Apartment,1,4.8
Austria,Vienna,161.0,City centre,Donauturm,Alsergrund,150,Vienna,4.0,4.5,617.0,0,21907,0,0% no offer,2017,11,0,0,1.0,2.7,Hotel,1,4.6
Austria,Vienna,203.0,City centre,Donauturm,Alsergrund,60,Vienna,4.0,4.0,359.0,1,21912,1,1-15% offer,2017,11,0,0,1.1,2.7,Hotel,1,4.1
Austria,Vienna,142.0,City centre,Donauturm,Alsergrund,100,Vienna,4.0,4.0,55.0,1,21914,1,15-50% offer,2017,11,0,0,1.0,2.3,Apartment,1,4.5
Austria,Vienna,18.0,City centre,Donauturm,Alsergrund,85,Vienna,4.0,4.0,62.0,0,21917,1,1-15% offer,2017,11,0,0,1.7,2.6,Hotel,1,4.1
Austria,Vienna,5.0,City centre,Donauturm,Donaustadt,158,Vienna,3.0,4.5,72.0,1,21922,0,0% no offer,2017,11,0,0,3.4,0.6,Apartment,1,4.8
Austria,Vienna,94.0,City centre,Donauturm,Donaustadt,95,Vienna,4.0,4.0,228.0,0,21926,1,15-50% offer,2017,11,0,0,3.6,1.2,Hotel,1,4.3
Austria,Vienna,178.0,City centre,Donauturm,Donaustadt,208,Vienna,4.0,4.0,1085.0,1,21930,0,0% no offer,2017,11,0,0,2.9,0.6,Hotel,1,4.1
Austria,Vienna,441.0,City centre,Donauturm,Favoriten,99,Vienna,3.5,4.5,630.0,0,21940,0,0% no offer,2017,11,0,0,1.7,4.2,Hotel,1,4.4
Austria,Vienna,1122.0,City centre,Donauturm,Favoriten,75,Vienna,3.5,4.5,573.0,0,21941,1,15-50% offer,2017,11,0,0,1.7,4.1,Hotel,1,4.4
Austria,Vienna,362.0,City centre,Donauturm,Favoriten,76,Vienna,3.0,4.0,269.0,0,21943,1,15-50% offer,2017,11,0,0,2.1,4.6,Hotel,1,4.4
Austria,Vienna,525.0,City centre,Donauturm,Favoriten,91,Vienna,4.0,4.5,741.0,0,21946,0,0% no offer,2017,11,0,0,1.9,4.2,Hotel,1,4.5
Austria,Vienna,23.0,City centre,Donauturm,Favoriten,84,Vienna,4.0,,,1,21962,1,15-50% offer,2017,11,0,0,1.9,4.3,Apartment,1,4.1
Austria,Vienna,38.0,City centre,Donauturm,Favoriten,63,Vienna,3.0,,,0,21963,1,15-50% offer,2017,11,0,0,2.3,4.7,Guest House,1,4.3
Austria,Vienna,77.0,City centre,Donauturm,Graben,113,Vienna,3.0,4.0,259.0,0,21965,1,15-50% offer,2017,11,0,0,0.2,2.9,Hotel,1,4.4
Austria,Vienna,27.0,City centre,Donauturm,Graben,218,Vienna,4.5,,,1,21966,1,1-15% offer,2017,11,0,0,0.1,2.9,Apartment,1,4.1
Austria,Vienna,144.0,City centre,Donauturm,Graben,299,Vienna,5.0,4.5,702.0,1,21967,1,50%-75% offer,2017,11,0,0,0.1,2.8,Hotel,1,4.5
Austria,Vienna,184.0,City centre,Donauturm,Innere Stadt,156,Vienna,3.0,4.5,1347.0,1,21968,1,1-15% offer,2017,11,0,0,0.3,2.6,Hotel,1,4.5
Austria,Vienna,78.0,City centre,Donauturm,Innere Stadt,513,Vienna,5.0,5.0,1126.0,1,21969,1,15-50% offer,2017,11,0,0,0.3,2.8,Hotel,1,4.8
Austria,Vienna,319.0,City centre,Donauturm,Innere Stadt,133,Vienna,4.0,4.0,466.0,1,21970,1,15-50% offer,2017,11,0,0,0.3,2.6,Hotel,1,4.3
Austria,Vienna,73.0,City centre,Donauturm,Innere Stadt,123,Vienna,4.0,3.5,47.0,1,21971,1,15-50% offer,2017,11,0,0,0.5,3.1,Hotel,1,4.1
Austria,Vienna,81.0,City centre,Donauturm,Innere Stadt,219,Vienna,4.0,4.5,392.0,1,21972,1,1-15% offer,2017,11,0,0,0.3,3.0,Hotel,1,4.5
Austria,Vienna,271.0,City centre,Donauturm,Innere Stadt,152,Vienna,4.0,4.0,261.0,0,21973,1,15-50% offer,2017,11,0,0,0.3,3.0,Hotel,1,4.3
Austria,Vienna,211.0,City centre,Donauturm,Innere Stadt,115,Vienna,4.0,4.5,211.0,1,21975,1,15-50% offer,2017,11,0,0,0.1,2.7,Hotel,1,4.3
Austria,Vienna,5.0,City centre,Donauturm,Innere Stadt,806,Vienna,5.0,4.5,114.0,0,21976,1,15-50% offer,2017,11,0,0,0.3,2.8,Hotel,1,4.5
Austria,Vienna,316.0,City centre,Donauturm,Innere Stadt,138,Vienna,4.0,4.5,463.0,0,21977,1,15-50% offer,2017,11,0,0,0.2,2.6,Hotel,1,4.5
Austria,Vienna,336.0,City centre,Donauturm,Innere Stadt,146,Vienna,4.0,4.0,714.0,0,21980,0,0% no offer,2017,11,0,0,0.1,2.9,Hotel,1,4.4
Austria,Vienna,140.0,City centre,Donauturm,Innere Stadt,121,Vienna,3.5,4.5,557.0,1,21985,1,15-50% offer,2017,11,0,0,0.3,2.5,Hotel,1,4.5
Austria,Vienna,21.0,City centre,Donauturm,Innere Stadt,157,Vienna,3.0,4.5,146.0,1,21988,1,1-15% offer,2017,11,0,0,0.4,2.9,Hotel,1,4.4
Austria,Vienna,193.0,City centre,Donauturm,Innere Stadt,261,Vienna,5.0,5.0,945.0,1,21989,1,15-50% offer,2017,11,0,0,0.3,3.1,Hotel,1,4.8
Austria,Vienna,75.0,City centre,Donauturm,Innere Stadt,145,Vienna,3.5,4.0,48.0,1,21990,1,15-50% offer,2017,11,0,0,0.7,3.4,Apartment,1,4.1
Austria,Vienna,35.0,City centre,Donauturm,Innere Stadt,275,Vienna,4.0,4.0,16.0,1,21991,1,15-50% offer,2017,11,0,0,0.2,2.6,Apartment,1,4.3
Austria,Vienna,386.0,City centre,Donauturm,Innere Stadt,138,Vienna,4.0,4.0,273.0,0,21996,1,15-50% offer,2017,11,0,0,0.3,2.5,Hotel,1,4.3
Austria,Vienna,626.0,City centre,Donauturm,Innere Stadt,199,Vienna,4.5,4.5,3171.0,0,21998,1,50%-75% offer,2017,11,0,0,0.3,2.9,Hotel,1,4.5
Austria,Vienna,334.0,City centre,Donauturm,Innere Stadt,203,Vienna,5.0,4.5,917.0,0,21999,1,15-50% offer,2017,11,0,0,0.3,2.9,Hotel,1,4.4
